,Time,RateV_Y,TempV_Y,TempC
0,0.0,-0.008335991,-0.2143205,25.39375034671891
1,10.0,-0.008365253,-0.2143324,25.392549195325465
2,20.0,-0.008326697,-0.2143264,25.39315481787678
3,30.0,-0.008326861,-0.214338,25.391983947610903
4,40.0,-0.008333725,-0.2143398,25.39180226084551
5,50.0,-0.008346106,-0.2143371,25.3920747909936
6,60.0,-0.008333807,-0.2143406,25.391721511172
7,70.0,-0.008337419,-0.214342,25.391580199243357
8,80.0,-0.008317353,-0.2143489,25.390883733309344
9,90.0,-0.008357108,-0.2143508,25.39069195283476
10,100.0,-0.008346517,-0.214358,25.38996520577318
11,110.0,-0.008315941,-0.2143642,25.389339395803486
12,120.0,-0.008339177,-0.2143705,25.388703492124606
13,130.0,-0.008358618,-0.2143601,25.38975323788022
14,140.0,-0.008328356,-0.2143642,25.389339395803486
15,150.0,-0.00833609,-0.21436,25.38976333158941
16,160.0,-0.008351476,-0.2143606,25.389702769334274
17,170.0,-0.008312739,-0.2143517,25.390601109452064
18,180.0,-0.00833632,-0.2143437,25.391408606187152
19,190.0,-0.008344727,-0.2143542,25.390348766722347
20,200.0,-0.008294726,-0.2143422,25.39156001182498
21,210.0,-0.008303363,-0.2143395,25.391832541973073
22,220.0,-0.008308421,-0.2143537,25.39039923526829
23,230.0,-0.008276565,-0.2143587,25.389894549808858
24,240.0,-0.0083165,-0.2143579,25.38997529948237
25,250.0,-0.008321607,-0.2143564,25.3901267051202
26,260.0,-0.008315761,-0.2143665,25.38910724049215
27,270.0,-0.008334415,-0.2143659,25.38916780274728
28,280.0,-0.008304398,-0.2143565,25.39011661141101
29,290.0,-0.008340556,-0.2143618,25.389581644824016
30,300.0,-0.008311606,-0.2143674,25.38901639710945
31,310.0,-0.008312083,-0.2143754,25.388208900374362
32,320.0,-0.008292838,-0.2143771,25.388037307318157
33,330.0,-0.008360047,-0.2143929,25.386442501266355
34,340.0,-0.008335711,-0.2144024,25.385483598893437
35,350.0,-0.008316286,-0.2144135,25.384363197173503
36,360.0,-0.008309308,-0.2144169,25.38402001106109
37,370.0,-0.008307369,-0.2144245,25.383252889162755
38,380.0,-0.008349308,-0.2144249,25.383212514326
39,390.0,-0.008336845,-0.2144259,25.383111577234114
40,400.0,-0.00831691,-0.2144247,25.38323270174438
41,410.0,-0.008352642,-0.2144104,25.38467610215835
42,420.0,-0.008340884,-0.2143978,25.385947909516116
43,430.0,-0.008348881,-0.214394,25.38633147046528
44,440.0,-0.008331212,-0.2143862,25.387118779781993
45,450.0,-0.008367239,-0.2143807,25.387673933787365
46,460.00000000000045,-0.008324464,-0.2143677,25.388986115981886
47,470.00000000000045,-0.008319817,-0.2143872,25.387017842690106
48,480.00000000000045,-0.008339587,-0.2143928,25.386452594975545
