,Tag Id,Test Date,Ambient Bias mVdc,Max Deviation from Amb mVdc,Min Deviation from Amb mVdc,Pk-Pk mVdc,Max Deviation after Calibration,Min Deviation after Calibration,Meets -105 temp spec,Meets -106 temp spec,-105 Post-Calibration meets temp spec,-106 Post-Calibration meets temp spec,,,,,,
0,I2835,7/8/2021 7:47,205.1008,0.7289,-1.0678,1.7967,0.778278289,-1.036759177,TRUE,FALSE,TRUE,FALSE,,,,,,
1,J8360,7/8/2021 7:47,12.87495,0.21297,-0.40212,0.61509,0.253894583,-0.394105676,TRUE,TRUE,TRUE,TRUE,,,,,Post-Calibration (Line of best fit),
2,J8362,7/8/2021 7:47,6.664898,0.66615,-0.945297,1.611447,0.579087087,-0.80355907,TRUE,FALSE,TRUE,FALSE,,,Count,Yield,Count,Yield
3,J8376,7/8/2021 7:47,12.21981,2.68244,-1.07399,3.75643,0.783165691,-0.670839791,FALSE,FALSE,TRUE,FALSE,,105,528,27.17%,1811,93.21%
4,J8377,7/8/2021 7:47,0.06439101,0.29732829,-1.01284071,1.310169,0.312203774,-0.64258199,TRUE,FALSE,TRUE,FALSE,,106,24,1.24%,292,15.03%
5,J8379,7/8/2021 7:47,4.823565,0.563424,-0.324619,0.888043,0.220932346,-0.167599013,TRUE,FALSE,TRUE,TRUE,,Total,1943,,,
6,J8380,7/8/2021 7:47,5.039273,1.956425,-2.985478,4.941903,0.577481711,-0.493481221,FALSE,FALSE,TRUE,FALSE,,,,,,
7,J8381,7/8/2021 7:47,4.871352,2.047958,-1.468071,3.516029,0.378660512,-0.720229424,FALSE,FALSE,TRUE,FALSE,,,,,,
8,J8383,7/8/2021 7:47,2.295741,0.185881,-0.312994,0.498875,0.266896965,-0.238224857,TRUE,TRUE,TRUE,TRUE,,,,,,
9,J8300,7/7/2021 14:33,12.84393,0.13844,-0.31329,0.45173,0.16952098,-0.271167936,TRUE,TRUE,TRUE,TRUE,,,,,,
10,J8375,7/7/2021 14:33,0.7183589,0.7322781,-0.4192843,1.1515624,0.32969998,-0.332882514,TRUE,FALSE,TRUE,TRUE,,,,,,
11,J8378,7/7/2021 14:33,9.338091,0.304642,-0.787441,1.092083,0.395979211,-0.592584121,TRUE,FALSE,TRUE,FALSE,,,,,,
12,J8382,7/7/2021 14:33,0.2011912,2.7293048,-0.7949553,3.5242601,0.684333025,-0.521667114,FALSE,FALSE,TRUE,FALSE,,,,,,
13,J8384,7/7/2021 14:33,10.3854,5.90407,-2.618159,8.522229,0.826700133,-1.204679391,FALSE,FALSE,TRUE,FALSE,,,,,,
14,J8322,7/6/2021 14:33,0.3833919,10.1849981,-5.0621559,15.247154,0.817736254,-1.207143021,FALSE,FALSE,TRUE,FALSE,,,,,,
15,J8323,7/6/2021 14:33,1.963699,4.486126,-10.431269,14.917395,7.592013409,-0.567018886,FALSE,FALSE,FALSE,FALSE,,,,,,
16,J8354,7/6/2021 14:33,0.6673115,2.9443395,-6.4720095,9.416349,0.596756521,-0.87829744,FALSE,FALSE,TRUE,FALSE,,,,,,
17,J8355,7/6/2021 14:33,4.182364,0.087091,-1.106466,1.193557,0.191811254,-0.459020622,TRUE,FALSE,TRUE,TRUE,,,,,,
18,J8356,7/6/2021 14:33,-1.352842,2.261776,-5.230085,7.491861,0.883265002,-1.032704917,FALSE,FALSE,TRUE,FALSE,,,,,,
19,J8357,7/6/2021 14:33,5.316758,1.668352,-5.6885809,7.3569329,0.630773295,-1.019650486,FALSE,FALSE,TRUE,FALSE,,,,,,
20,J8358,7/6/2021 14:33,7.289631,2.519876,-6.3686087,8.8884847,1.041255172,-0.997306042,FALSE,FALSE,TRUE,FALSE,,,,,,
21,J8359,7/6/2021 14:33,1.232981,4.61152,-11.123217,15.734737,0.985787721,-1.352087844,FALSE,FALSE,TRUE,FALSE,,,,,,
22,J8361,7/6/2021 14:33,4.787834,1.104273,-0.272449,1.376722,0.800182945,-0.897097544,TRUE,FALSE,TRUE,FALSE,,,,,,
23,J8363,7/6/2021 14:33,-0.1357125,0.5808587,-2.2830825,2.8639412,0.205292573,-0.338513503,FALSE,FALSE,TRUE,TRUE,,,,,,
24,J8283,6/30/2021 9:23,7.879698,2.019496,-5.148417,7.167913,0.465478592,-0.744485976,FALSE,FALSE,TRUE,FALSE,,,,,,
25,J8312,6/30/2021 9:23,1.705022,20.370988,-8.720182,29.09117,0.436741781,-0.41900775,FALSE,FALSE,TRUE,TRUE,,,,,,
26,J8314,6/30/2021 9:23,2.828524,3.40641,-7.482978,10.889388,0.746484425,-1.097976583,FALSE,FALSE,TRUE,FALSE,,,,,,
